timestamp,close,typical,variation,sma8,sma20,ema8,ema20,ppo,roc,rsi,williamsr,atr,sd
2013-11-24T19:45-07:00[America/Denver],808.0,811.29333333333333333333333333333,1.0024689519981141673180233495862,806.90,806.345,806.74777966008940657989496025754,806.34601843710739076381352455388,0.038844472528271356021770052002999,0.18598884066955982641041537507750,52.896271823080793472969698737355,-59.798994974874371859296482412060,8.1205573673900598680238697529616,2.7690513552773384
2013-11-24T19:50-07:00[America/Denver],808.26,811.76333333333333333333333333333,1.0003217821782178217821782178218,807.54,806.3585,807.08382862451398286186896153563,806.52830239547811543748000480152,0.052696839965045258395548839579400,0.21822690638561686298822070675759,53.296829697937319141853081773887,-58.492462311557788944723618090452,8.2610294990205568746226762653135,2.7240778256136515
2013-11-24T19:55-07:00[America/Denver],819.88,816.59,1.0143765619973770816321480711652,809.40,806.8995,809.92742226351087527487205062802,807.79989264352781862106340468858,0.17768380255006330667620934085038,1.6590204587724736515809051456913,66.860415401022294935170576511601,-0.10050251256281407035175879396985,8.4294780240695290308915424520478,4.419256101403936
2013-11-24T20:00-07:00[America/Denver],816.0,816.47333333333333333333333333333,0.99526760013660535688149485290530,809.65,807.2465,811.27688398273068063439875634426,808.58085524890612154315173516585,0.23511397577476308182063535726166,1.1779293242405455672659640421575,60.538217795696330390300011192724,-19.597989949748743718592964824121,8.3260041228660525793469653294454,4.953459726827919
2013-11-24T20:05-07:00[America/Denver],817.43,817.77,1.0017524509803921568627450980392,810.82875,808.067,812.64424309767941813446312121733,809.42363093948649084835849335549,0.29140601861455321935748547813107,1.3552386856788592684438933663980,61.965676923058826308663741467305,-12.412060301507537688442211055276,8.1037039167227499503796170629731,5.311086258468974
2013-11-24T20:10-07:00[America/Denver],809.68,813.08333333333333333333333333333,0.99051906585273356740026668950247,811.38875,808.4245,811.98552240930621417045449645080,809.44804704048777743215374445081,0.25588030162004965221396319890074,0.39429634221946683199008059516429,51.163781455958656169953691268821,-51.356783919597989949748743718593,8.2090187208866124528606362098245,5.091518407496682
2013-11-24T20:15-07:00[America/Denver],814.29,812.88666666666666666666666666667,1.0056936073510522675624938247209,812.44375,808.6745,812.49762854057149985914288411298,809.90918541758417954227567340230,0.27048289353332721856616130900305,0.96590204587724736515809051456913,56.069461352698785985970527746612,-31.340782122905027932960893854749,8.0490677848422818302176043993333,5.088898882541752
2013-11-24T20:20-07:00[America/Denver],815.48,815.78666666666666666666666666667,1.0014613958172149971140502769284,813.6275,808.999,813.16037775377783315750287743391,810.43973918733806715981901503014,0.29050622964501342340916585718888,1.1134531928084314941103533787973,57.262880882259536537847138822816,-25.242718446601941747572815533981,8.0406143956001677387067241793666,4.8795926561339025
2013-11-24T20:25-07:00[America/Denver],816.83,816.05333333333333333333333333333,1.0016554667189875901309658115466,814.73125,809.5845,813.97584936404942570762174364366,811.04833545521063214048652130572,0.31609873349839989787517047364704,1.2808431494110353378797272163670,58.635732013127435378363942110131,-17.532838378069674471730439748715,7.7550836758201593517713879703983,4.802479217305689
2013-11-24T20:30-07:00[America/Denver],816.0,815.17666666666666666666666666667,0.99898387669404894531297822068239,815.69875,810.0345,814.42566061648288661650245314617,811.51992255471438142035528248545,0.32435251118512500653515795580217,1.1779293242405455672659640421575,57.414580902481273214238075264546,-22.336769759450171821305841924399,7.5323294920291513841828185718784,4.895263276987297
2013-11-24T20:35-07:00[America/Denver],809.76,812.46,0.99235294117647058823529411764706,814.43375,810.3715,813.38884714615335636096103281331,811.35231088283682129933034292976,0.26586924592089700785397036206624,0.40421574705517668939863608183509,49.130416908302531185761953365474,-58.275862068965517241379310344828,7.5687130174276938149736776432845,4.8148641555847345
2013-11-24T20:40-07:00[America/Denver],809.75,810.56333333333333333333333333333,0.99998765066192452084568267140881,813.6525,810.684,812.58021444700816613938851765820,811.19970984637617166474616027370,0.21691670162410170202474672028477,0.40297582145071295722256664600124,49.118185713049150564949354135156,-60.059171597633136094674556213018,7.3122773665563091242249937611203,4.483852661927859
